#,EDO,SERIAL,EQUIPO / ACTIVO,TIPO,DIAMETRO,TIPO,CONEXIÓN,PRESION,X,DIAMETRO,TIPO,CONEXIÓN,PRESION,X,DIAMETRO,TIPO,CONEXIÓN,PRESION,P.T.,SERVICIO,A / L,TEMP,D. EXT,PESO,PROPIEDAD,NOMENCLATURA FLEJE,L. FLEJE,,UNION
30,ON,,PCT-CE-03,CARRETE ESPACIADOR,11      ,B,BX-158,10000,X,11      ,B,BX-158,10000,NA,NA,NA,NA,NA,10000,H2S,19  3/4 ,-29 - 121 C,,,PCT, / PCT-CE-03 / MAWP 10000 / H2S / TEMP -29 - 121 C,3      ,,
31,ON,,PCT-CE-04,CARRETE ESPACIADOR,13  5/8 ,B,BX-160,5000,X,13  5/8 ,B,BX-160,5000,NA,NA,NA,NA,NA,5000,H2S,15  1/8 ,-29 - 121 C,,,PCT, / PCT-CE-04 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
32,ON,,PCT-CE-05,CARRETE ESPACIADOR,13  5/8 ,B,BX-160,5000,X,13  5/8 ,B,BX-160,5000,NA,NA,NA,NA,NA,5000,H2S,20      ,-29 - 121 C,,,PCT, / PCT-CE-05 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
33,ON,,PCT-CE-06,CARRETE ESPACIADOR,13  5/8 ,B,BX-160,5000,X,13  5/8 ,B,BX-160,5000,NA,NA,NA,NA,NA,5000,H2S,19  3/4 ,-29 - 121 C,,,PCT, / PCT-CE-06 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
34,ON,,PCT-CE-07,CARRETE ESPACIADOR,13  5/8 ,B,BX-160,5000,X,13  5/8 ,B,BX-160,5000,NA,NA,NA,NA,NA,5000,H2S,60      ,-29 - 121 C,,,PCT, / PCT-CE-07 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
35,ON,,PCT-CE-08,CARRETE ESPACIADOR,13  5/8 ,B,BX-160,5000,X,13  5/8 ,B,BX-160,5000,NA,NA,NA,NA,NA,5000,H2S,60      ,-29 - 121 C,,,PCT, / PCT-CE-08 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
36,ON,,PCT-CE-09,CARRETE ESPACIADOR,13  5/8 ,B,BX-160,5000,X,13  5/8 ,B,BX-160,5000,NA,NA,NA,NA,NA,5000,H2S,60      ,-29 - 121 C,,,PCT, / PCT-CE-09 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
37,ON,,PCT-CE-10,CARRETE ESPACIADOR,13  5/8 ,B,BX-160,5000,X,13  5/8 ,B,BX-160,5000,NA,NA,NA,NA,NA,5000,H2S,20      ,-29 - 121 C,,,PCT, / PCT-CE-10 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
38,ON,,PCT-CE-11,CARRETE ESPACIADOR,13  5/8 ,B,BX-159,10000,X,13  5/8 ,B,BX-159,10000,NA,NA,NA,NA,NA,10000,H2S,78  3/4 ,-29 - 121 C,,,PCT, / PCT-CE-11 / MAWP 10000 / H2S / TEMP -29 - 121 C,3      ,,
39,ON,,PCT-CE-12,CARRETE ESPACIADOR,16  3/4 ,B,BX-162,5000,X,16  3/4 ,B,BX-162,5000,NA,NA,NA,NA,NA,5000,H2S,78  3/4 ,-29 - 121 C,,,PCT, / PCT-CE-12 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
40,ON,,PCT-CE-13,CARRETE ESPACIADOR,13  5/8 ,B,BX-159,10000,X,13  5/8 ,B,BX-159,10000,NA,NA,NA,NA,NA,10000,H2S,60      ,-29 - 121 C,,,PCT, / PCT-CE-13 / MAWP 10000 / H2S / TEMP -29 - 121 C,3      ,,
41,ON,,PCT-CE-14,CARRETE ESPACIADOR,13  5/8 ,B,BX-159,10000,X,13  5/8 ,B,BX-159,10000,NA,NA,NA,NA,NA,10000,H2S,55      ,-29 - 121 C,,,PCT, / PCT-CE-14 / MAWP 10000 / H2S / TEMP -29 - 121 C,3      ,,
42,ON,,PCT-CE-15,CARRETE ESPACIADOR,13  5/8 ,B,BX-160,5000,X,13  5/8 ,B,BX-160,5000,NA,NA,NA,NA,NA,5000,H2S,39  3/8 ,-29 - 121 C,,,PCT, / PCT-CE-15 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
43,ON,,PCT-CE-16,CARRETE ESPACIADOR,13  5/8 ,B,BX-160,5000,X,13  5/8 ,B,BX-160,5000,NA,NA,NA,NA,NA,5000,H2S,27  5/9 ,-29 - 121 C,,,PCT, / PCT-CE-16 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
44,ON,1905028,PCT-CE-17,CARRETE ESPACIADOR,13  5/8 ,B,BX-160,5000,X,13  5/8 ,B,BX-160,5000,NA,NA,NA,NA,NA,5000,H2S,78  3/4 ,-29 - 121 C,,,PCT,1905028 / PCT-CE-17 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
45,ON,,PCT-CE-18,CARRETE ESPACIADOR,13  5/8 ,B,BX-159,10000,X,13  5/8 ,B,BX-159,10000,NA,NA,NA,NA,NA,10000,H2S,78  3/4 ,-29 - 121 C,,,PCT, / PCT-CE-18 / MAWP 10000 / H2S / TEMP -29 - 121 C,3      ,,
46,ON,,PCT-CE-19,CARRETE ESPACIADOR,13  5/8 ,B,BX-160,5000,X,13  5/8 ,B,BX-160,5000,NA,NA,NA,NA,NA,5000,H2S,39  3/8 ,-29 - 121 C,,,PCT, / PCT-CE-19 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
47,ON,250219B01,PCT-CE-21,CARRETE ESPACIADOR,18  3/4 ,B,BX-163,5000,X,18  3/4 ,B,BX-163,5000,NA,NA,NA,NA,NA,5000,H2S,39  3/8 ,-29 - 121 C,,,PCT,250219B01 / PCT-CE-21 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
48,ON,250219C01,PCT-CE-22,CARRETE ESPACIADOR,18  3/4 ,B,BX-163,5000,X,18  3/4 ,B,BX-163,5000,NA,NA,NA,NA,NA,5000,H2S,60      ,-29 - 121 C,,,PCT,250219C01 / PCT-CE-22 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
49,ON,250219D01,PCT-CE-23,CARRETE ESPACIADOR,18  3/4 ,B,BX-163,5000,X,18  3/4 ,B,BX-163,5000,NA,NA,NA,NA,NA,5000,H2S,78  3/4 ,-29 - 121 C,,,PCT,250219D01 / PCT-CE-23 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
50,OFF,,PCT-CC-01,CARRETE DE CONTROL,11      ,B,BX-158,10000,X,11      ,B,BX-158,10000,NA,NA,NA,NA,NA,10000,H2S,XX,-29 - 121 C,,,PCT, / PCT-CC-01 / MAWP 10000 / H2S / TEMP -29 - 121 C,3      ,,
51,ON,,PCT-DSA-01,BRIDA ADAPTADORA,11      ,B,R-54 / RX-54,5000,X,13  5/8 ,B,BX-160,5000,NA,NA,NA,NA,NA,5000,H2S,5  3/8 ,-29 - 121 C,,,PCT, / PCT-DSA-01 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
52,ON,,PCT-DSA-02,BRIDA ADAPTADORA,11      ,B,BX-158,10000,X,13  5/8 ,B,BX-160,5000,NA,NA,NA,NA,NA,5000,H2S,5  3/4 ,-29 - 121 C,,,PCT, / PCT-DSA-02 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
53,ON,,PCT-DSA-03,BRIDA ADAPTADORA,11      ,B,R-54 / RX-54,5000,X,11      ,B,BX-158,10000,NA,NA,NA,NA,NA,5000,H2S,5  1/2 ,-29 - 121 C,,,PCT, / PCT-DSA-03 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
54,ON,,PCT-DSA-04,BRIDA ADAPTADORA,11      ,B,R-54 / RX-54,5000,X,13  5/8 ,B,BX-159,10000,NA,NA,NA,NA,NA,5000,H2S,6  7/8 ,-29 - 121 C,,,PCT, / PCT-DSA-04 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
55,ON,,PCT-DSA-05,BRIDA ADAPTADORA,13  5/8 ,B,BX-160,5000,X,13  5/8 ,B,BX-159,10000,NA,NA,NA,NA,NA,5000,H2S,7  1/2 ,-29 - 121 C,,,PCT, / PCT-DSA-05 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
56,ON,,PCT-DSA-06,BRIDA ADAPTADORA,11      ,B,R-54 / RX-54,5000,X,11      ,B,BX-158,10000,NA,NA,NA,NA,NA,5000,H2S,5  1/2 ,-29 - 121 C,,,PCT, / PCT-DSA-06 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
57,ON,,PCT-DSA-07,BRIDA ADAPTADORA,9      ,B,BX-157,10000,X,11      ,B,BX-158,10000,NA,NA,NA,NA,NA,10000,H2S,6  1/4 ,-29 - 121 C,,,PCT, / PCT-DSA-07 / MAWP 10000 / H2S / TEMP -29 - 121 C,3      ,,
