,,,,,,,,,,FECHA MODIFICACIÓN:,16-feb-23
NC,ESTADO,EQUIPO/ACTIVO,DESCRIPCIÓN,TIPO DE PRUEBA,ÁREA A INSPECIONAR,FECHA REALIZACIÓN,NO. DE REPORTE / CERTIFICADO,EMISOR,REALIZÓ,PROXIMA PRUEBA,DIAS DE VIGENCIA
76,ACTIVO,PCT-CE-08,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 152.4 CM ALTURA",M.T. / L.P.,CARA,08-feb-23,TR-REF-PCT-048-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
77,ACTIVO,PCT-CE-08,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 152.4 CM ALTURA",U.T.T.,CUERPO,03-feb-23,TR-REF-PCT-018-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
78,ACTIVO,PCT-CE-08,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 152.4 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
79,ACTIVO,PCT-CE-09,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 152.4 CM ALTURA",M.T. / L.P.,CARA,08-feb-23,TR-REF-PCT-049-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
80,ACTIVO,PCT-CE-09,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 152.4 CM ALTURA",U.T.T.,CUERPO,03-feb-23,TR-REF-PCT-019-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
81,ACTIVO,PCT-CE-09,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 152.4 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
82,ACTIVO,PCT-CE-10,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 50.8 CM ALTURA",M.T. / L.P.,CARA,02-abr-22,TR-REF-PCT-069-22,TRUESPECT,,02-abr-23,-952
83,ACTIVO,PCT-CE-10,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 50.8 CM ALTURA",U.T.T.,CUERPO,02-abr-22,TR-REF-PCT-074-22,TRUESPECT,,02-abr-23,-952
84,ACTIVO,PCT-CE-10,"CARRETE ESPACIADOR 13 5/8"" 5K X 13 5/8"" 5K X 50.8 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
85,ACTIVO,PCT-CE-11,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 200 CM ALTURA",M.T. / L.P.,CARA,08-feb-23,TR-REF-PCT-050-22,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
86,ACTIVO,PCT-CE-11,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 200 CM ALTURA",U.T.T.,CUERPO,04-feb-23,TR-REF-PCT-037-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,04-feb-24,-644
,ACTIVO,PCT-CE-11,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 200 CM ALTURA",M.T. / L.P.,EXTERIOR,08-feb-23,TR-REF-PCT-043-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
